Reservoir,Rule,Zones,Description
Big Cliff,[DUMMY] IMPORT MODULES,TOD,
Big Cliff,[DUMMY] Initialize ControllerExternalSV,TOD,
Detroit,No Draft,Rule Curve,
Detroit,Upper RO use 1400 to 1542 ft,"TOD, Rule Curve",
Detroit,No Lower RO Flow,"TOD, Rule Curve","The lower RO has physical properties listed, but there should be no flow at all through them. This is a max rule saying zero flow through the lower RO."
Detroit,Special Curves,"TOD, Rule Curve","Special curves parameters reproduce the ESRD curves provided in project water control manuals (WCM) above the spillway and additionally extend below the spillway. Maximum evacuation release must be defined at a lower priority than Special Curves.

Inflow check period for rising pool conditions consistent with WCM. Falling pool check period is 2x rising pool check. Falling pool transition elevation is the maximum conservation season elevation.  All reservoirs release average inflow of rising pool check period during falling pool operations except Detroit, Dorena, and Cottage Grove. Detroit maintains the maximum gate opening release while Dorena and Cottage Grove maintain the peak release.

Define additional releases on envelope curve (maintain ascending max pool elevation) to display curves on plot.

See Willamette Flow Frequency Report, Appendix E, or memo here: ..\Tasks\3.1_ResSim_Development\SpecialCurves"
Detroit,Max Evacuation Release,"TOD, Rule Curve","WCM  pg 45 defines max post flood evacuation rate of 17,000 cfs, which also happens to be bankfull at Mehama. The tapering of releases below elev 1563 are developed as calibration flows, not documented constraints. SOP lists normal maximum release as 10000 cfs. A maximum drawdown limit of 5000 is recommended by ResReg, but may need to change."
Detroit,Secondary Flood Draft Limit,"TOD, Rule Curve",
Detroit,Mehama Winter Ops Max,"TOD, Rule Curve","Max flow target transitions from 17000 cfs (bankfull, per 2022 SOP) to 30500 cfs (flood stage, per 2022 SOP) as elevations rise. This rule attempts to mimic real time operations, where bankfull is targeted at low elevations but the target rises as the pool does."
Detroit,Jefferson Winter Ops Max,"TOD, Rule Curve","Max flow target transitions from 43000 cfs (bankfull, per 2022 SOP) to 55900 cfs (flood stage, per 2022 SOP) as elevations rise. This rule attempts to mimic real time operations, where bankfull is targeted at low elevations but the target rises as the pool does."
Detroit,Spawning Max,Rule Curve,"3,000 cfs maximum during spawning season as prescribed by the 2018 WFOP.  5,000 cfs is a conservation season calibration maximum"
Detroit,Deep Drawdown,"TOD, Rule Curve",
Detroit,Min for BCL,"TOD, Rule Curve","DET release below 1050 cfs could cause cavitation at BCL. This rule is considered always active, even if BCL is not generating. 1000 cfs min From ResReg High Flow Period Minimum, 1050 is pretty close even if BCL not generating."
Detroit,IRRM,"TOD, Rule Curve",
Detroit,BiOp MinTrib and Withdrawals by WY,"TOD, Rule Curve",Absolute min is 1050 to prevent cavitation at BCL
Detroit,MainstemFlowAug,"TOD, Rule Curve",
Detroit,Draft to RC,TOD,
Foster,Waterloo Flood Simple,"TOD, Rule Curve",
Green Peter,Special Curves,"TOD, Rule Curve","Special curves parameters reproduce the ESRD curves provided in project water control manuals (WCM) above the spillway and additionally extend below the spillway. Maximum evacuation release must be defined at a lower priority than Special Curves.

Inflow check period for rising pool conditions consistent with WCM. Falling pool check period is 2x rising pool check. Falling pool transition elevation is the maximum conservation season elevation.  All reservoirs release average inflow of rising pool check period during falling pool operations except Detroit, Dorena, and Cottage Grove. Detroit maintains the maximum gate opening release while Dorena and Cottage Grove maintain the peak release.

Define additional releases on envelope curve (maintain ascending max pool elevation) to display curves on plot.

See Willamette Flow Frequency Report, Appendix E, or memo here: ..\Tasks\3.1_ResSim_Development\SpecialCurves"
Green Peter,Max Evacuation Release,TOD,Calibration at lowest elevations - RO capacity at upper elevations
Green Peter,Secondary Flood Draft Limit,"TOD, Rule Curve",
Green Peter,Flood Min,"TOD, Rule Curve","From WCM:Since peaking for power generation will be a regular procedure at Green Peter, the minimum release from Green Peter will not be less than 50 cfs. Also biologicial min for channel between Foster and Green PEter.
From 2022 SOP: Min flow out of Green Peter during floods is 50 cfs."
Green Peter,Waterloo Flood Max,"TOD, Rule Curve","19000 cfs bankfull, 25700 cfs from 2022 SOP. Gradually taper from bankfull to flood stage at higher elevations, which really helps Green Peter evacuate stored waters after an event."
Green Peter,Jefferson Flood Stage Simplified Max,"TOD, Rule Curve","The native DS Control rule in ResSim caused many oscillations when used at multiple upstream reservoirs.
This rule is a simpler version of the downstream control rule based on cumulative local flow at Jefferson.
Typical low cumloc value during the recession limb is taken as 20000 cfs.
Linear interpolation from max release at the typical low cumloc value to 0 release at the downstream target.
Bankfull flow = Not used in operations
Regulation Goal = 43,000 cfs, Willamette SOP (2020), equal to NWS Action Stage of 13.0 feet. 
Flood Stage = 55,900 cfs, Willamette SOP (2020), equal to NWS Action Stage of 15.0 feet. 
The rule includes an allowance for routing time (the difference between the rule Offset and rule Period Average).
It also included an allowance of 15kcfs reduction from Foster, leading to a flow in the rule of 70 kcfs."
Green Peter,BiOp Max Flow Winter GPR FOS,TOD,
Green Peter,Deep Drawdown,"TOD, Rule Curve",
